index,Player,Summary_#,Nation,Summary_Pos,Age,Min,Summary_Gls,Summary_Ast,Summary_PK,Summary_PKatt,Summary_Sh,Summary_SoT,Summary_CrdY,Summary_CrdR,Summary_Touches,Summary_Tkl,Summary_Int,Summary_Blocks,Summary_xG,Summary_npxG,Summary_xAG,Summary_SCA,Summary_GCA,Summary_Cmp,Summary_pass_Att,Summary_Cmp%,Summary_PrgP,Summary_Carries,Summary_PrgC,Summary_takes_on_Att,Summary_Succ,Passing_#,Passing_Pos,Passing_total_Cmp,Passing_total_Att,Passing_total_Cmp%,Passing_TotDist,Passing_PrgDist,Passing_short_Cmp,Passing_short_Att,Passing_short_Cmp%,Passing_medium_Cmp,Passing_medium_Att,Passing_medium_Cmp%,Passing_long_Cmp,Passing_long_Att,Passing_long_Cmp%,Passing_Ast,Passing_xAG,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,Pass_Types_#,Pass_Types_Pos,Pass_Types_Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Pass_Types_In,Pass_Types_Out,Pass_Types_Str,Pass_Types_Cmp,Pass_Types_Off,Pass_Types_Blocks,Defensive_Actions_#,Defensive_Actions_Pos,Defensive_Actions_total_Tkl,Defensive_Actions_TklW,Defensive_Actions_Def 3rd,Defensive_Actions_Mid 3rd,Defensive_Actions_Att 3rd,Defensive_Actions_dribblers_Tkl,Defensive_Actions_Att,Defensive_Actions_Tkl%,Defensive_Actions_Lost,Defensive_Actions_Blocks,Defensive_Actions_Sh,Defensive_Actions_Pass,Defensive_Actions_Int,Defensive_Actions_Tkl+Int,Defensive_Actions_Clr,Defensive_Actions_Err,Possession_#,Possession_Pos,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Live,Possession_Att,Possession_Succ,Possession_Succ%,Possession_Tkld,Possession_Tkld%,Possession_Carries,Possession_TotDist,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Miscellaneous_Stats_#,Miscellaneous_Stats_Pos,Miscellaneous_Stats_CrdY,Miscellaneous_Stats_CrdR,Miscellaneous_Stats_2CrdY,Miscellaneous_Stats_Fls,Miscellaneous_Stats_Fld,Miscellaneous_Stats_Off,Miscellaneous_Stats_Crs,Miscellaneous_Stats_Int,Miscellaneous_Stats_TklW,Miscellaneous_Stats_PKwon,Miscellaneous_Stats_PKcon,Miscellaneous_Stats_OG,Miscellaneous_Stats_Recov,Miscellaneous_Stats_Won,Miscellaneous_Stats_Lost,Miscellaneous_Stats_Won%,Goalkeeping_SoTA,Goalkeeping_GA,Goalkeeping_Saves,Goalkeeping_Save%,Goalkeeping_PSxG,Goalkeeping_Cmp,Goalkeeping_Att,Goalkeeping_Cmp%,Goalkeeping_Att (GK),Goalkeeping_Thr,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Att,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Opp,Goalkeeping_Stp,Goalkeeping_Stp%,Goalkeeping_#OPA,Goalkeeping_AvgDist,home,game_id
2,Aurélio Buta,24.0,pt POR,WB,26-232,59,0,0,0,0,0,0,1,0,32,1,0,0,0.0,0.0,0.0,1,0,17,28,60.7,2,19,2,1,0,24.0,WB,17,28,60.7,303,120,6,13,46.2,9,10,90.0,2,4,50.0,0,0.0,0.0,0,2,1,0,2,24.0,WB,28,23,5,1,0,0,0,4,0,0,0,0,17,0,2,24.0,WB,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,24.0,WB,32,1,12,14,6,1,32,1,0,0.0,1,100.0,19,57,19,2,1,1,0,1,21,2,24.0,WB,1,0,0,2,0,0,0,0,1,0,0,0,4,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,48
3,Ellyes Skhiri,15.0,tn TUN,CM,28-143,90,0,0,0,0,2,2,0,0,65,2,0,0,0.5,0.5,0.0,3,0,49,56,87.5,1,33,0,0,0,15.0,CM,49,56,87.5,777,180,26,29,89.7,21,21,100.0,1,2,50.0,0,0.0,0.0,1,4,0,0,1,15.0,CM,56,55,1,1,0,0,0,0,0,0,0,0,49,0,2,15.0,CM,2,1,2,0,0,0,0,,0,0,0,0,0,2,2,0,15.0,CM,65,4,28,28,10,3,65,0,0,,0,,33,146,65,0,1,0,1,0,47,1,15.0,CM,0,0,0,1,2,1,0,0,1,0,0,0,7,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,48
4,Fares Chaïbi,8.0,dz ALG,AM,20-306,67,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.2,3,0,17,25,68.0,1,9,0,1,0,8.0,AM,17,25,68.0,322,153,10,11,90.9,3,5,60.0,4,6,66.7,0,0.2,0.1,2,2,0,0,1,8.0,AM,25,19,5,1,0,0,5,0,3,1,2,0,17,1,2,8.0,AM,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,8.0,AM,33,1,6,16,11,1,33,1,0,0.0,1,100.0,9,12,2,0,0,0,4,1,16,2,8.0,AM,0,0,0,1,0,0,5,0,0,0,0,0,3,1,5,16.7,,,,,,,,,,,,,,,,,,,,,0,48
5,Hugo Larsson,16.0,se SWE,CM,19-095,90,0,0,0,0,0,0,0,0,51,3,1,0,0.0,0.0,0.2,1,0,36,41,87.8,0,30,1,1,0,16.0,CM,36,41,87.8,562,228,19,20,95.0,14,16,87.5,2,4,50.0,0,0.2,0.1,1,1,1,1,0,16.0,CM,41,40,1,0,0,0,1,1,0,0,0,0,36,0,0,16.0,CM,3,2,3,0,0,0,1,0.0,1,0,0,0,1,4,1,0,16.0,CM,51,1,23,23,6,0,51,1,0,0.0,1,100.0,30,186,60,1,0,0,1,2,32,3,16.0,CM,0,0,0,0,0,0,1,1,2,0,0,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,0,48
6,Jens Petter Hauge,23.0,no NOR,AM,23-353,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,23.0,AM,4,4,100.0,72,5,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,23.0,AM,4,3,1,1,0,0,0,0,0,0,0,0,4,0,0,23.0,AM,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23.0,AM,4,0,0,4,0,0,4,0,0,,0,,3,14,5,0,0,0,0,0,2,0,23.0,AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,48
7,Jessic Ngankam,18.0,de GER,FW,23-072,9,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0,18.0,FW,3,4,75.0,41,4,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,18.0,FW,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0,18.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18.0,FW,6,0,0,5,1,0,6,0,0,,0,,4,6,2,0,0,0,1,0,4,0,18.0,FW,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,48
8,Junior Dina Ebimbe,26.0,fr FRA,"WB,AM",22-313,81,0,0,0,0,2,0,0,0,41,0,0,1,0.1,0.1,0.4,3,0,23,28,82.1,6,20,2,8,7,26.0,"WB,AM",23,28,82.1,443,128,11,13,84.6,8,8,100.0,4,6,66.7,0,0.4,0.2,1,4,0,0,6,26.0,"WB,AM",28,23,5,0,1,1,0,5,0,0,0,0,23,0,0,26.0,"WB,AM",0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,26.0,"WB,AM",41,4,11,19,13,3,41,8,7,87.5,1,12.5,20,145,93,2,1,1,2,1,22,2,26.0,"WB,AM",0,0,0,1,0,1,0,0,0,0,0,0,5,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,48
9,Kevin Trapp,1.0,de GER,GK,33-084,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,24,41,58.5,0,20,0,0,0,1.0,GK,24,41,58.5,693,424,2,2,100.0,13,14,92.9,9,24,37.5,0,0.0,0.0,0,0,0,0,0,1.0,GK,41,32,8,0,0,0,0,0,0,0,0,0,24,1,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.0,GK,46,43,46,1,0,0,46,0,0,,0,,20,77,37,0,0,0,0,0,26,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,8.0,2.0,5.0,75.0,2.9,5.0,18.0,27.8,32.0,2.0,40.6,35.2,8.0,62.5,48.9,19.0,0.0,0.0,2.0,28.3,0,48
10,Mario Götze,27.0,de GER,AM,31-119,57,0,0,0,0,1,1,2,1,43,1,1,1,0.0,0.0,0.0,0,0,26,32,81.3,3,22,0,1,1,27.0,AM,26,32,81.3,414,80,16,19,84.2,8,9,88.9,2,3,66.7,0,0.0,0.0,0,2,1,0,3,27.0,AM,32,31,1,0,0,1,1,1,0,0,0,0,26,0,1,27.0,AM,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0,27.0,AM,43,1,8,22,13,0,43,1,1,100.0,0,0.0,22,88,22,0,1,0,2,2,32,3,27.0,AM,2,1,1,1,3,0,1,1,1,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,0,48
11,Niels Nkounkou,29.0,fr FRA,WB,22-333,23,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,12,16,75.0,1,9,0,0,0,29.0,WB,12,16,75.0,315,234,1,4,25.0,8,8,100.0,3,4,75.0,0,0.0,0.0,0,2,0,0,1,29.0,WB,16,12,4,1,0,0,0,3,0,0,0,0,12,0,2,29.0,WB,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,29.0,WB,20,0,10,8,2,0,20,0,0,,0,,9,43,15,0,0,0,3,0,10,0,29.0,WB,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,48
12,Omar Marmoush,7.0,eg EGY,FW,24-235,81,0,0,0,0,1,1,0,0,30,0,1,0,0.4,0.4,0.4,2,0,11,17,64.7,0,17,3,4,1,7.0,FW,11,17,64.7,144,12,4,5,80.0,5,7,71.4,0,2,0.0,0,0.4,0.1,2,0,0,0,0,7.0,FW,17,15,2,0,0,0,1,0,1,1,0,0,11,0,1,7.0,FW,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,7.0,FW,30,0,4,14,13,3,30,4,1,25.0,2,50.0,17,113,26,3,1,2,4,0,18,3,7.0,FW,0,0,0,1,3,0,1,1,0,0,0,0,6,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,48
13,Paxten Aaronson,30.0,us USA,"AM,CB",20-035,9,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,30.0,"AM,CB",2,3,66.7,22,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,30.0,"AM,CB",3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,30.0,"AM,CB",1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,30.0,"AM,CB",5,0,0,3,2,0,5,0,0,,0,,3,30,20,1,0,0,0,1,2,1,30.0,"AM,CB",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,48
14,Robin Koch,4.0,de GER,CB,27-075,90,0,0,0,0,1,0,0,0,57,2,2,2,0.2,0.2,0.0,0,0,39,44,88.6,1,27,0,0,0,4.0,CB,39,44,88.6,726,214,16,17,94.1,18,19,94.7,5,8,62.5,0,0.0,0.0,0,1,0,0,1,4.0,CB,44,38,6,5,0,0,0,0,0,0,0,0,39,0,0,4.0,CB,2,1,2,0,0,1,1,100.0,0,2,1,1,2,4,6,0,4.0,CB,57,16,36,20,1,1,57,0,0,,0,,27,79,28,0,1,0,1,0,29,0,4.0,CB,0,0,0,0,0,0,0,2,1,0,0,0,5,0,3,0.0,,,,,,,,,,,,,,,,,,,,,0,48
15,Tuta,35.0,br BRA,CB,24-088,81,0,0,0,0,0,0,0,0,68,3,2,1,0.0,0.0,0.0,0,0,51,58,87.9,1,44,1,1,1,35.0,CB,51,58,87.9,999,310,18,19,94.7,28,31,90.3,5,7,71.4,0,0.0,0.0,0,1,0,0,1,35.0,CB,58,54,4,3,0,0,0,1,0,0,0,0,51,0,1,35.0,CB,3,2,3,0,0,2,2,100.0,0,1,1,0,2,5,2,0,35.0,CB,68,10,50,16,2,1,68,1,1,100.0,0,0.0,44,209,99,1,0,0,2,0,47,0,35.0,CB,0,0,0,5,0,0,0,2,2,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,48
0,16 Players,,,,,990,1,1,0,0,24,4,2,0,609,12,9,14,1.7,1.7,1.4,45,2,341,497,68.6,50,252,21,7,3,,,341,497,68.6,6711,3323,141,175,80.6,125,173,72.3,60,115,52.2,1,1.4,1.9,20,43,16,5,50,,,497,438,57,15,1,1,36,22,5,2,2,0,341,2,7,,,12,6,8,3,1,8,17,47.1,9,14,8,6,9,21,15,0,,,609,73,157,278,179,36,609,7,3,42.9,4,57.1,252,1572,737,21,16,2,13,6,338,49,,,2,0,0,12,11,2,36,9,6,0,0,0,62,33,29,53.2,,,,,,,,,,,,,,,,,,,,,1,49
1,Anthony Losilla,8.0,fr FRA,CM,37-204,90,1,0,0,0,2,1,0,0,46,2,1,1,0.7,0.7,0.0,2,0,30,35,85.7,7,12,0,0,0,8.0,CM,30,35,85.7,419,173,13,16,81.3,12,14,85.7,1,1,100.0,0,0.0,0.1,1,4,1,0,7,8.0,CM,35,35,0,0,0,0,0,0,0,0,0,0,30,0,0,8.0,CM,2,0,0,2,0,0,1,0.0,1,1,0,1,1,3,1,0,8.0,CM,46,1,4,27,15,6,46,0,0,,0,,12,23,15,0,2,0,2,0,27,2,8.0,CM,0,0,0,3,0,1,0,1,0,0,0,0,2,3,1,75.0,,,,,,,,,,,,,,,,,,,,,1,49
2,Bernardo,5.0,br BRA,CB,28-139,90,0,0,0,0,1,0,1,0,72,3,0,5,0.0,0.0,0.0,2,0,38,55,69.1,6,19,2,0,0,5.0,CB,38,55,69.1,777,410,15,16,93.8,14,21,66.7,8,14,57.1,0,0.0,0.0,2,8,1,0,6,5.0,CB,55,50,5,0,0,0,1,2,0,0,0,0,38,0,1,5.0,CB,3,2,2,1,0,2,3,66.7,1,5,2,3,0,3,3,0,5.0,CB,72,9,23,43,7,1,72,0,0,,0,,19,116,47,2,2,0,1,0,22,3,5.0,CB,1,0,0,3,1,0,1,0,2,0,0,0,10,7,2,77.8,,,,,,,,,,,,,,,,,,,,,1,49
3,Christopher Antwi-Adjei,22.0,gh GHA,LW,29-235,84,0,0,0,0,6,3,0,0,56,2,0,0,0.3,0.3,0.2,5,1,32,43,74.4,3,33,8,1,0,22.0,LW,32,43,74.4,553,165,18,19,94.7,9,14,64.3,5,7,71.4,0,0.2,0.5,3,1,2,1,3,22.0,LW,43,35,8,0,0,0,5,8,0,0,0,0,32,0,1,22.0,LW,2,0,2,0,0,1,3,33.3,2,0,0,0,0,2,1,0,22.0,LW,56,1,6,9,41,8,56,1,0,0.0,1,100.0,33,302,183,8,4,2,1,1,39,15,22.0,LW,0,0,0,0,0,1,5,0,0,0,0,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,49
4,Cristian Gamboa,2.0,cr CRC,RM,33-341,45,0,0,0,0,0,0,1,0,38,0,0,1,0.0,0.0,0.0,3,0,21,34,61.8,5,21,1,0,0,2.0,RM,21,34,61.8,484,217,8,9,88.9,6,10,60.0,7,15,46.7,0,0.0,0.2,1,6,3,1,5,2.0,RM,34,33,1,0,0,0,6,1,0,0,0,0,21,0,0,2.0,RM,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,2.0,RM,38,2,7,21,10,0,38,0,0,,0,,21,102,72,1,1,0,0,0,28,1,2.0,RM,1,0,0,1,1,0,6,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,1,49
5,Erhan Mašović,4.0,rs SRB,CB,24-312,90,0,0,0,0,2,0,0,0,51,2,0,2,0.2,0.2,0.0,1,0,29,37,78.4,3,14,0,0,0,4.0,CB,29,37,78.4,570,260,10,13,76.9,14,15,93.3,3,4,75.0,0,0.0,0.0,0,3,0,0,3,4.0,CB,37,36,1,1,0,1,0,0,0,0,0,0,29,0,2,4.0,CB,2,1,2,0,0,2,4,50.0,2,2,2,0,0,2,3,0,4.0,CB,51,8,21,27,3,2,51,0,0,,0,,14,43,24,0,0,0,1,1,18,1,4.0,CB,0,0,0,1,0,0,0,0,1,0,0,0,7,2,3,40.0,,,,,,,,,,,,,,,,,,,,,1,49
6,Felix Passlack,15.0,de GER,"RM,WB",25-124,45,0,0,0,0,0,0,0,0,24,1,1,1,0.0,0.0,0.0,1,0,12,19,63.2,1,7,0,0,0,15.0,"RM,WB",12,19,63.2,239,44,5,5,100.0,6,8,75.0,1,4,25.0,0,0.0,0.0,0,0,0,0,1,15.0,"RM,WB",19,12,6,0,0,0,2,6,0,0,0,0,12,1,1,15.0,"RM,WB",1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,2,0,15.0,"RM,WB",24,4,5,15,5,0,24,0,0,,0,,7,32,6,0,0,0,1,0,8,0,15.0,"RM,WB",0,0,0,1,1,0,2,1,1,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,1,49
7,Gonçalo Paciência,9.0,pt POR,RW,29-060,23,0,0,0,0,2,0,0,0,10,0,0,0,0.1,0.1,0.1,3,0,4,6,66.7,1,5,0,2,2,9.0,RW,4,6,66.7,33,4,3,3,100.0,0,1,0.0,0,0,,0,0.1,0.1,1,0,1,0,1,9.0,RW,6,6,0,0,0,0,1,0,0,0,0,0,4,0,0,9.0,RW,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,9.0,RW,10,1,1,3,6,1,10,2,2,100.0,0,0.0,5,15,9,0,0,0,0,1,9,1,9.0,RW,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,66.7,,,,,,,,,,,,,,,,,,,,,1,49
8,Ivan Ordets,20.0,ua UKR,CB,31-084,90,0,0,0,0,2,0,0,0,47,0,4,4,0.1,0.1,0.0,0,0,28,36,77.8,1,20,0,0,0,20.0,CB,28,36,77.8,498,196,11,13,84.6,16,18,88.9,1,4,25.0,0,0.0,0.0,0,0,0,0,1,20.0,CB,36,36,0,0,0,0,0,0,0,0,0,0,28,0,0,20.0,CB,0,0,0,0,0,0,0,,0,4,2,2,4,4,0,0,20.0,CB,47,10,19,23,5,3,47,0,0,,0,,20,122,33,0,0,0,0,0,23,0,20.0,CB,0,0,0,0,1,0,0,4,0,0,0,0,5,5,3,62.5,,,,,,,,,,,,,,,,,,,,,1,49
9,Kevin Stöger,7.0,at AUT,CM,30-034,45,0,0,0,0,1,0,0,0,38,0,0,0,0.0,0.0,0.0,4,0,20,36,55.6,3,15,3,0,0,7.0,CM,20,36,55.6,283,90,10,15,66.7,8,15,53.3,1,3,33.3,0,0.0,0.1,2,3,2,0,3,7.0,CM,36,29,7,2,0,0,6,1,1,1,0,0,20,0,1,7.0,CM,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7.0,CM,38,2,4,18,16,1,38,0,0,,0,,15,76,52,3,1,0,0,0,23,6,7.0,CM,0,0,0,2,1,0,6,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,1,49
10,Lukas Daschner,13.0,de GER,CM,24-364,45,0,1,0,0,2,0,0,0,24,0,0,0,0.2,0.2,0.7,3,1,12,18,66.7,2,13,0,2,1,13.0,CM,12,18,66.7,155,56,7,11,63.6,5,7,71.4,0,0,,1,0.7,0.6,2,1,1,0,2,13.0,CM,18,18,0,0,1,0,0,0,0,0,0,0,12,0,0,13.0,CM,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13.0,CM,24,1,1,11,13,4,24,2,1,50.0,1,50.0,13,95,8,0,1,0,0,2,20,1,13.0,CM,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,49
11,Manuel Riemann,1.0,de GER,GK,35-021,90,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,3,0,35,59,59.3,1,35,0,0,0,1.0,GK,35,59,59.3,1367,1230,3,3,100.0,8,8,100.0,23,47,48.9,0,0.0,0.0,0,6,1,0,1,1.0,GK,59,42,17,9,0,0,0,0,0,0,0,0,35,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.0,GK,61,31,49,13,0,0,61,0,0,,0,,35,206,117,0,0,0,0,0,26,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,8.0,3.0,5.0,62.5,2.9,18.0,41.0,43.9,51.0,3.0,68.6,45.0,8.0,75.0,50.1,17.0,0.0,0.0,4.0,34.5,1,49
12,Matúš Bero,19.0,sk SVK,CM,28-024,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,19.0,CM,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,19.0,CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,CM,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19.0,CM,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,19.0,CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,49
13,Maximilian Wittek,32.0,de GER,"LM,WB",28-040,45,0,0,0,0,3,0,0,0,30,0,0,0,0.1,0.1,0.1,3,0,14,24,58.3,4,10,3,0,0,32.0,"LM,WB",14,24,58.3,310,125,4,5,80.0,7,10,70.0,3,8,37.5,0,0.1,0.0,2,2,0,0,4,32.0,"LM,WB",24,16,7,0,0,0,3,4,2,0,1,0,14,1,0,32.0,"LM,WB",0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,32.0,"LM,WB",30,2,6,15,9,0,30,0,0,,0,,10,78,68,3,1,0,0,0,10,1,32.0,"LM,WB",0,0,0,0,1,0,3,0,0,0,0,0,5,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,49
14,Philipp Förster,10.0,de GER,LM,28-238,45,0,0,0,0,1,0,0,0,50,2,3,0,0.1,0.1,0.1,6,0,37,44,84.1,8,24,3,1,0,10.0,LM,37,44,84.1,691,289,15,17,88.2,15,19,78.9,6,6,100.0,0,0.1,0.2,3,5,4,3,8,10.0,LM,44,39,5,3,0,0,8,0,2,1,1,0,37,0,0,10.0,LM,2,2,1,0,1,2,4,50.0,2,0,0,0,3,5,0,0,10.0,LM,50,0,9,27,15,1,50,1,0,0.0,1,100.0,24,173,80,3,3,0,2,0,29,5,10.0,LM,0,0,0,0,0,0,8,3,2,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,1,49
15,Philipp Hofmann,33.0,de GER,FW,30-184,90,0,0,0,0,2,0,0,0,40,0,0,0,0.1,0.1,0.1,6,0,18,34,52.9,4,11,0,0,0,33.0,FW,18,34,52.9,209,49,12,21,57.1,3,10,30.0,1,1,100.0,0,0.1,0.0,1,3,0,0,4,33.0,FW,34,34,0,0,0,0,1,0,0,0,0,0,18,0,0,33.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33.0,FW,40,0,0,21,19,7,40,0,0,,0,,11,83,2,0,0,0,2,1,38,7,33.0,FW,0,0,0,0,3,0,1,0,0,0,0,0,4,12,15,44.4,,,,,,,,,,,,,,,,,,,,,1,49
0,16 Players,,,,,990,3,3,0,0,27,8,3,0,512,10,8,13,3.1,3.1,2.3,44,5,225,355,63.4,35,224,16,21,9,,,225,355,63.4,4563,2527,90,118,76.3,90,122,73.8,41,101,40.6,3,2.3,1.8,20,14,9,3,35,,,355,292,60,14,1,4,19,15,10,2,7,0,225,3,6,,,10,5,5,4,1,4,7,57.1,3,13,8,5,8,18,46,0,,,512,99,220,161,137,37,512,21,9,42.9,8,38.1,224,1037,485,16,9,9,17,4,219,34,,,3,0,0,12,12,3,19,8,5,0,0,0,62,29,33,46.8,,,,,,,,,,,,,,,,,,,,,0,49
1,Alassane Pléa,14.0,fr FRA,FW,30-204,71,2,1,0,0,5,2,0,0,46,1,0,0,0.9,0.9,0.7,7,1,24,31,77.4,8,31,2,3,0,14.0,FW,24,31,77.4,378,136,11,12,91.7,11,13,84.6,1,3,33.3,1,0.7,0.6,6,1,2,0,8,14.0,FW,31,31,0,0,1,0,1,0,0,0,0,0,24,0,2,14.0,FW,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,14.0,FW,46,1,2,19,25,8,46,3,0,0.0,1,33.3,31,141,70,2,2,2,3,0,38,10,14.0,FW,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,49
2,Christoph Kramer,23.0,de GER,CM,32-223,18,0,0,0,0,0,0,1,0,18,0,1,1,0.0,0.0,0.0,1,0,8,10,80.0,1,11,3,5,2,23.0,CM,8,10,80.0,113,32,5,6,83.3,1,1,100.0,1,1,100.0,0,0.0,0.0,1,0,0,0,1,23.0,CM,10,8,1,0,0,0,1,0,1,0,0,0,8,1,0,23.0,CM,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,1,0,23.0,CM,18,0,4,6,8,2,18,5,2,40.0,3,60.0,11,72,41,3,0,2,2,1,9,0,23.0,CM,1,0,0,2,0,0,1,1,0,0,0,0,3,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,49
3,Florian Neuhaus,10.0,de GER,CM,26-198,72,1,0,0,0,5,1,0,0,29,0,1,0,0.7,0.7,0.4,5,1,19,21,90.5,7,16,1,2,2,10.0,CM,19,21,90.5,421,200,8,8,100.0,8,10,80.0,3,3,100.0,0,0.4,0.4,2,4,2,1,7,10.0,CM,21,18,3,3,0,2,1,0,0,0,0,0,19,0,0,10.0,CM,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,10.0,CM,29,3,5,15,11,4,29,2,2,100.0,0,0.0,16,85,46,1,1,0,0,0,15,3,10.0,CM,0,0,0,0,1,0,1,1,0,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,49
4,Franck Honorat,9.0,fr FRA,WB,27-050,90,0,0,0,0,3,1,0,0,60,1,0,1,0.2,0.2,0.5,12,0,30,53,56.6,2,28,3,2,1,9.0,WB,30,53,56.6,583,309,13,18,72.2,11,19,57.9,6,15,40.0,0,0.5,0.5,5,0,2,2,2,9.0,WB,53,39,14,1,0,0,14,4,9,2,7,0,30,0,0,9.0,WB,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,9.0,WB,60,0,9,25,27,6,60,2,1,50.0,0,0.0,28,105,64,3,2,2,1,1,29,9,9.0,WB,0,0,0,2,1,0,14,0,1,0,0,0,8,1,3,25.0,,,,,,,,,,,,,,,,,,,,,0,49
